Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
3702A,大聯大甲特,368900.0,18998111.0,51.5,51.5,51.5,51.5,0.0,152.0
3703,欣陸,574649.0,17504348.0,30.6,30.8,30.2,30.2,-0.4,473.0
3704,合勤控,2167272.0,91944557.0,42.9,43.0,41.6,42.4,-0.2,1275.0
3705,永信,592243.0,32781102.0,55.7,56.0,55.0,55.2,-0.9,466.0
3706,神達,186797366.0,15716915648.0,88.5,89.5,80.8,81.8,-4.2,92822.0
3708,上緯投控,451537.0,43226026.0,96.0,98.4,94.6,95.0,-1.5,599.0
3711,日月光投控,9895247.0,1565998521.0,159.0,159.0,157.5,158.0,-2.0,5570.0
3712,永崴投控,2346140.0,152632704.0,65.5,66.3,64.3,64.8,-0.8,2496.0
3714,富采,2641196.0,118523896.0,45.35,46.1,44.4,44.55,-0.8,1987.0
3715,定穎投控,5340296.0,349964288.0,66.0,66.5,64.7,65.0,-1.0,5834.0
4104,佳醫,99213.0,8666790.0,87.7,87.7,87.1,87.4,-0.2,182.0
4119,旭富,199081.0,18643595.0,93.1,94.2,93.0,94.0,0.6,1014.0
4137,麗豐-KY,425291.0,50602580.0,116.0,122.5,116.0,118.0,5.5,530.0
4142,國光生,403142.0,8804568.0,21.65,22.05,21.65,21.65,0.0,304.0
4164,承業醫,216488.0,8750679.0,40.3,40.8,40.1,40.25,-0.5,313.0
4306,炎洲,1672825.0,29796773.0,17.95,18.05,17.7,17.75,-0.2,1038.0
4438,廣越,39209.0,3919718.0,100.0,100.5,99.6,99.6,-0.3,37.0
4526,東台,1582353.0,49157043.0,30.7,31.8,30.7,30.95,0.35,1235.0
4532,瑞智,862380.0,22813742.0,26.15,26.6,26.15,26.5,0.45,563.0
4536,拓凱,95151.0,18850827.0,198.0,199.0,197.0,197.5,0.5,138.0
4551,智伸科,516031.0,59104953.0,114.5,116.5,113.0,114.0,-0.5,401.0
4566,時碩工業,2113912.0,163225621.0,75.2,79.4,75.2,76.4,1.2,1803.0
4571,鈞興-KY,935334.0,166770550.0,176.5,182.5,175.0,177.5,-1.0,899.0
4576,大銀微系統,4955466.0,604678466.0,117.0,126.0,116.0,121.0,5.0,4162.0
4583,台灣精銳,549053.0,368520071.0,654.0,680.0,654.0,673.0,19.0,887.0
4736,泰博,43423.0,6471373.0,149.0,150.0,148.5,149.0,0.5,96.0
4739,康普,533591.0,33386589.0,62.4,63.3,61.6,63.0,0.0,726.0
4746,台耀,1670544.0,124318750.0,75.3,76.6,73.4,73.6,-2.0,1477.0
4755,三福化,407241.0,56886827.0,142.0,142.0,138.0,138.0,-4.5,601.0
4763,材料-KY,2582770.0,2464161416.0,969.0,977.0,936.0,941.0,-27.0,27697.0
4766,南寶,288811.0,93927199.0,327.0,331.5,322.0,322.0,-5.0,502.0
4770,上品,128478.0,41991060.0,326.5,330.0,324.5,325.0,-0.5,172.0
4771,望隼,90539.0,15843406.0,174.5,176.5,172.5,175.5,3.5,156.0
4904,遠傳,6377375.0,574312462.0,90.2,90.7,89.6,89.9,-0.1,3241.0
4906,正文,2864857.0,100540436.0,35.8,35.85,34.85,34.85,-0.75,2065.0
4912,聯德控股-KY,467178.0,59416287.0,128.0,129.5,125.5,127.5,1.5,468.0
4915,致伸,1429296.0,112687759.0,79.1,80.1,78.0,78.0,-1.4,1071.0
4919,新唐,3685940.0,353342098.0,95.8,97.3,94.4,96.0,0.1,3332.0
4927,泰鼎-KY,1606340.0,62927935.0,38.15,39.95,38.15,38.85,0.65,960.0
4935,茂林-KY,63284.0,3999777.0,63.3,63.8,63.0,63.1,-0.2,89.0
4938,和碩,6186052.0,596421948.0,97.3,97.5,95.9,96.0,-1.3,3684.0
4942,嘉彰,190729.0,7829931.0,41.1,41.15,40.75,40.9,-0.25,140.0
4952,凌通,616841.0,32920387.0,52.5,54.9,52.0,54.3,0.7,510.0
4958,臻鼎-KY,3004655.0,348897349.0,116.0,117.0,115.0,116.0,0.5,2155.0
4960,誠美材,879898.0,11565664.0,13.0,13.25,13.0,13.15,0.2,408.0
4961,天鈺,410437.0,98197361.0,242.5,242.5,237.5,237.5,-3.0,563.0
4967,十銓,4169207.0,339379646.0,84.3,84.3,79.2,80.8,-6.2,3477.0
4968,立積,11885120.0,2625093901.0,212.0,226.0,211.5,220.0,5.5,10619.0
4976,佳凌,135244.0,4992203.0,36.75,37.45,36.7,36.7,-0.2,143.0
4977,眾達-KY,27198219.0,4005648362.0,145.5,152.0,144.5,146.0,1.5,18672.0
4994,傳奇,23145.0,2468770.0,109.0,109.0,105.0,106.0,-3.0,28.0
5007,三星,22808.0,1251815.0,55.0,55.0,54.6,54.7,-0.2,21.0
5203,訊連,147807.0,12787230.0,87.5,87.6,85.8,85.9,-1.5,442.0
5222,全訊,249703.0,30971142.0,124.0,125.0,123.5,123.5,-1.0,459.0
5225,東科-KY,503698.0,61365962.0,122.0,123.5,120.5,123.5,1.5,511.0
5234,達興材料,795104.0,166114244.0,209.0,214.5,206.5,207.5,-3.5,806.0
5243,乙盛-KY,1755082.0,119943653.0,68.8,69.7,67.5,67.8,-0.7,1069.0
5258,虹堡,319413.0,28419681.0,89.1,90.2,88.0,88.0,-1.1,332.0
5269,祥碩,1486531.0,2765238485.0,1825.0,1905.0,1820.0,1850.0,-35.0,3320.0
5283,禾聯碩,30013.0,3138165.0,104.0,105.0,104.0,104.5,0.0,51.0
5285,界霖,214701.0,11016937.0,51.7,52.0,50.9,52.0,0.3,163.0
5288,豐祥-KY,19187.0,3769988.0,197.0,198.0,195.5,195.5,-4.0,28.0
5306,桂盟,165036.0,20337683.0,123.0,124.5,122.0,123.0,0.0,230.0
5388,中磊,1187678.0,134555769.0,114.5,114.5,112.5,113.5,-1.0,1137.0
5434,崇越,181640.0,54846809.0,303.5,303.5,301.0,301.0,-2.5,352.0
5469,瀚宇博,595517.0,30851022.0,52.1,52.6,51.4,51.6,-0.4,669.0
5471,松翰,396058.0,16709715.0,42.85,43.1,41.6,41.75,-0.75,384.0
5519,隆大,487012.0,17931499.0,37.0,37.55,36.45,36.55,-0.05,354.0
